OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-31","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-31","528","Mountain Tire Tube","4.99","0.3992"
"2016-02-01","479","Road Bottle Cage","8.99","0.7192"
"2016-02-01","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-02-01","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-02-01","488","Short-Sleeve Classic Jersey, S","53.99","4.3192"
"2016-02-01","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-02-02","528","Mountain Tire Tube","4.99","0.3992"
"2016-02-02","475","Women's Mountain Shorts, M","69.99","5.5992"
"2016-02-02","538","LL Road Tire","21.49","1.7192"
