OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-13","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-13","606","Road-750 Black, 52","539.99","43.1992"
"2016-01-14","476","Women's Mountain Shorts, L","69.99","5.5992"
"2016-01-14","605","Road-750 Black, 48","539.99","43.1992"
"2016-01-14","488","Short-Sleeve Classic Jersey, S","53.99","4.3192"
"2016-01-15","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-15","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-15","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-15","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-15","539","ML Road Tire","24.99","1.9992"
"2016-01-15","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-15","386","Road-550-W Yellow, 42","1120.49","89.6392"
"2016-01-16","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-16","353","Mountain-200 Silver, 38","2319.99","185.5992"
"2016-01-16","568","Touring-3000 Yellow, 44","742.35","59.388"
"2016-01-16","561","Touring-1000 Yellow, 46","2384.07","190.7256"
"2016-01-17","581","Road-350-W Yellow, 42","1700.99","136.0792"
"2016-01-17","490","Short-Sleeve Classic Jersey, L","53.99","4.3192"
"2016-01-17","225","AWC Logo Cap","8.99","0.7192"
"2016-01-17","530","Touring Tire Tube","4.99","0.3992"
"2016-01-17","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-18","354","Mountain-200 Silver, 42","2071.4196","165.7136"
"2016-01-18","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-18","529","Road Tire Tube","3.99","0.3192"
"2016-01-18","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-18","539","ML Road Tire","24.99","1.9992"
"2016-01-18","538","LL Road Tire","21.49","1.7192"
"2016-01-19","467","Half-Finger Gloves, L","24.49","1.9592"
"2016-01-19","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-19","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-20","606","Road-750 Black, 52","539.99","43.1992"
"2016-01-20","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-20","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-20","372","Road-250 Red, 58","2443.35","195.468"
"2016-01-20","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-21","310","Road-150 Red, 62","3578.27","286.2616"
"2016-01-21","536","ML Mountain Tire","29.99","2.3992"
"2016-01-21","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-21","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-21","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-21","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-21","361","Mountain-200 Black, 42","2294.99","183.5992"
"2016-01-22","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-01-22","536","ML Mountain Tire","29.99","2.3992"
"2016-01-22","482","Racing Socks, L","8.99","0.7192"
"2016-01-22","479","Road Bottle Cage","8.99","0.7192"
"2016-01-22","384","Road-550-W Yellow, 40","1120.49","89.6392"
"2016-01-23","474","Women's Mountain Shorts, S","69.99","5.5992"
"2016-01-23","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-23","388","Road-550-W Yellow, 44","1120.49","89.6392"
"2016-01-24","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-24","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-24","465","Half-Finger Gloves, M","24.49","1.9592"
"2016-01-24","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-24","491","Short-Sleeve Classic Jersey, XL","53.99","4.3192"
"2016-01-24","541","Touring Tire","28.99","2.3192"
"2016-01-25","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-25","569","Touring-3000 Yellow, 50","742.35","59.388"
"2016-01-26","314","Road-150 Red, 56","3578.27","286.2616"
"2016-01-26","352","Mountain-200 Silver, 38","2071.4196","165.7136"
"2016-01-26","377","Road-250 Black, 52","2181.5625","174.525"
"2016-01-26","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-26","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-26","476","Women's Mountain Shorts, L","69.99","5.5992"
"2016-01-26","217","Sport-100 Helmet, Black","34.99","2.7992"
"2016-01-26","225","AWC Logo Cap","8.99","0.7192"
"2016-01-27","361","Mountain-200 Black, 42","2294.99","183.5992"
"2016-01-28","375","Road-250 Black, 48","2181.5625","174.525"
"2016-01-28","380","Road-250 Black, 58","2443.35","195.468"
"2016-01-28","231","Long-Sleeve Logo Jersey, M","49.99","3.9992"
"2016-01-28","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-28","225","AWC Logo Cap","8.99","0.7192"
"2016-01-29","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-29","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-01-29","537","HL Mountain Tire","35","2.8"
"2016-01-30","225","AWC Logo Cap","8.99","0.7192"
"2016-01-30","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-30","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-31","537","HL Mountain Tire","35","2.8"
"2016-01-31","479","Road Bottle Cage","8.99","0.7192"
"2016-01-31","606","Road-750 Black, 52","539.99","43.1992"
"2016-01-31","540","HL Road Tire","32.6","2.608"
"2016-02-01","539","ML Road Tire","24.99","1.9992"
"2016-02-01","528","Mountain Tire Tube","4.99","0.3992"
"2016-02-01","528","Mountain Tire Tube","4.99","0.3992"
"2016-02-01","529","Road Tire Tube","3.99","0.3192"
"2016-02-01","489","Short-Sleeve Classic Jersey, M","53.99","4.3192"
"2016-02-02","529","Road Tire Tube","3.99","0.3192"
"2016-02-02","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-02-02","477","Water Bottle - 30 oz.","4.99","0.3992"
