OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-24","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-24","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-25","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-25","384","Road-550-W Yellow, 40","1120.49","89.6392"
"2016-01-25","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-26","379","Road-250 Black, 58","2181.5625","174.525"
"2016-01-26","480","Patch Kit/8 Patches","2.29","0.1832"
"2016-01-26","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-26","472","Classic Vest, M","63.5","5.08"
"2016-01-27","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-27","529","Road Tire Tube","3.99","0.3192"
"2016-01-27","529","Road Tire Tube","3.99","0.3192"
"2016-01-27","539","ML Road Tire","24.99","1.9992"
"2016-01-28","388","Road-550-W Yellow, 44","1120.49","89.6392"
"2016-01-28","576","Touring-1000 Blue, 60","2384.07","190.7256"
"2016-01-28","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-29","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-01-29","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-29","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-29","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-29","484","Bike Wash - Dissolver","7.95","0.636"
"2016-01-29","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-29","471","Classic Vest, S","63.5","5.08"
"2016-01-30","537","HL Mountain Tire","35","2.8"
"2016-01-30","485","Fender Set - Mountain","21.98","1.7584"
"2016-01-30","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-01-31","487","Hydration Pack - 70 oz.","54.99","4.3992"
"2016-01-31","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-31","535","LL Mountain Tire","24.99","1.9992"
"2016-01-31","483","Hitch Rack - 4-Bike","120","9.6"
"2016-02-01","375","Road-250 Black, 48","2181.5625","174.525"
"2016-02-01","477","Water Bottle - 30 oz.","4.99","0.3992"
"2016-02-01","214","Sport-100 Helmet, Red","34.99","2.7992"
"2016-02-01","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-02-01","388","Road-550-W Yellow, 44","1120.49","89.6392"
"2016-02-02","363","Mountain-200 Black, 46","2294.99","183.5992"
"2016-02-02","476","Women's Mountain Shorts, L","69.99","5.5992"
"2016-02-02","374","Road-250 Black, 44","2443.35","195.468"
