OrderDate,ProductKey,EnglishProductName,SalesAmount,TaxAmt
"2016-01-29","537","HL Mountain Tire","35","2.8"
"2016-01-29","530","Touring Tire Tube","4.99","0.3992"
"2016-01-29","488","Short-Sleeve Classic Jersey, S","53.99","4.3192"
"2016-01-30","350","Mountain-100 Black, 44","3374.99","269.9992"
"2016-01-30","373","Road-250 Black, 44","2181.5625","174.525"
"2016-01-30","369","Road-250 Red, 48","2443.35","195.468"
"2016-01-30","528","Mountain Tire Tube","4.99","0.3992"
"2016-01-30","478","Mountain Bottle Cage","9.99","0.7992"
"2016-01-30","222","Sport-100 Helmet, Blue","34.99","2.7992"
"2016-01-30","361","Mountain-200 Black, 42","2294.99","183.5992"
"2016-01-30","237","Long-Sleeve Logo Jersey, XL","49.99","3.9992"
"2016-02-01","530","Touring Tire Tube","4.99","0.3992"
"2016-02-01","485","Fender Set - Mountain","21.98","1.7584"
"2016-02-01","485","Fender Set - Mountain","21.98","1.7584"
"2016-02-02","214","Sport-100 Helmet, Red","34.99","2.7992"
